Usted es...,
Hombre,831
Mujer,117
Otro/prefiero no decirlo,7
Total,955
,
¿Cuál es su edad?,
Menos de 20 años,35
entre 20 y 29 años,151
entre 30 y 39 años,241
entre 40 y 49 años,312
entre 50 y 59 años,166
60 o más años,54
Total,959
,
¿Ha estado usted abonada o abonado al Estudiantes en ACB?,
"Sí, actualmente (temporada 2020-21)",465
"Sí, en el pasado, pero dejé de estarlo por circunstancias personales",202
"Sí, en el pasado, pero dejé de estarlo por descontento con el rumbo del club",146
"No, nunca",140
Total,953
,
¿Cual es su valoración de la temporada ACB 2020-21 del Estudiantes?,
1,699
2,219
3,35
4,3
5,4
Total,960
,
La principal causa del descenso a LEB ha sido...,
Lesiones/COVID‑19,73
Los entrenadores,16
Mala planificación,852
Mala suerte,6
Total,947
,
Los máximos responsables de la situación actual del club son:,
Los jugadores,27
Los entrenadores,8
La directiva,876
Las dificultades de un club de cantera en el baloncesto actual,46
Total,957
,
¿Deberían tomarse medidas para cambiar la situación?,
"No, hasta ahora todo va bien",3
"Si, pequeños cambios organizativos en puestos clave",96
"Sí, deberían dimitir los directivos responsables y se deberían reestructurar club y SAD",829
Otros,30
Total,958
,
"En LEB, considerando que en el Magariños es imposible por aforo, ¿en qué instalación preferiría jugar?",
Madrid Arena,443
Wizink Center,390
Caja Mágica,63
Vistalegre,12
Otros,41
Total,949
,
¿Qué le parecen las medidas con respecto a los abonos de la temporada 2020-21?,
Me parece una medida lógica,99
"Me parece una medida extraña, pero apoyaré al club",133
"Me parece mala medida, dado que aún no sabemos dónde jugaremos",230
"Me parece mala medida en cualquier caso, poco justa con los abonados",485
Total,947
,
¿Qué tipo de equipo le gustaría tener en LEB?,
"Plantilla muy profesionalizada, buscando un ascenso rápido",103
Plantilla con 3-4 canteranos y el resto profesionales veteranos,183
Plantilla con 5-6 canteranos y fichajes de calidad,384
Plantilla con los máximos canteranos posibles y pocos fichajes pero determinantes,287
Total,957
,
¿Cree que la desaparición del club es un riesgo real?,
"Sí, a corto plazo",233
"Sí, a medio plazo",494
"Sí, a largo plazo",85
"No, se exagera",144
Total,956
,
¿Renovará su abono el año que viene?,
Sí,312
No,58
No lo sé,238
No soy abonado,348
Total (abonados),608
Total,956
,
¿Cómo vería la llegada de un posible inversor externo que quisiera comprar el club?,
"Bien, en cualquier caso",88
"Bien, siempre que respete la identidad del club",692
"Mal, preferiría que no entrase un inversor externo en ningún caso",174
Total,954